index,time,instructions:u,L1-icache-load-misses,cache-misses:u,iTLB-load-misses,branch-misses:u,L1-dcache-load-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,dTLB-load-misses,LLC-load-misses,dTLB-store-misses,cpi
0,0.200117415,196908964,81739,116502,11962,358984,1688998,115518267,887075,11277,4543,62620,41126,0.586658243755729
1,0.402308535,783830542,37155,22933,7653,950627,904680,283449228,743572,1133,2034,78284,8041,0.36162054527342
2,0.602501836,1199864339,50441,320716,5799,2351508,1807370,465130770,2238871,11993,68072,411388,68137,0.387652799472024
3,0.802708559,548593309,15074,1127077,7515,1086753,10243979,448046310,924612,164710,108450,1005171,61334,0.816718510141362
4,1.002924757,929032643,222367,698880,27733,1359764,7092262,434454404,1618910,74992,85138,479744,96854,0.467641699431653
5,1.20311461,946024057,145445,271061,10028,2341404,6241689,465842203,2402775,33275,48019,150720,40447,0.492421096010247
6,1.403305036,818926674,62354,215133,4392,3237686,4928237,491882088,3090303,8139,37051,242061,13640,0.600642406233308
7,1.603521269,609087485,49864,995278,2121,2073586,7939002,489732384,2974246,73998,76715,527837,11824,0.804042762428455
8,1.803725881,793570494,20747,1014019,1519,1262107,5099817,464552919,1154949,51131,10362,968804,70327,0.585395906869491
9,2.003909252,922580608,14219,142712,1432,2392547,2485852,504526166,2290579,16,10525,136855,453,0.546864048111447
10,2.204121547,690025562,9172,1819064,748,3717130,5959378,499173079,3925624,21977,29776,1237770,1301,0.723412445117504
11,2.404329198,688319244,6967,1410990,814,5628073,4901012,492566546,5604482,27981,105284,1557640,6603,0.715607692642108
12,2.604507008,771563432,16545,992767,706,469413,1373326,507099563,458609,57138,19664,942063,1169,0.657236387791898
13,2.804706152,796007949,20371,894207,794,396547,1682933,475543471,389379,45069,52416,725817,43808,0.597410455005393
14,3.004903379,596697939,49237,1381869,2064,688007,3603088,474031640,759517,6222,27512,1473552,35097,0.794424798574677
15,3.205094069,797598084,16740,1624844,640,1135708,4726685,488558080,1010377,108836,52983,1457879,13318,0.612536677056511
16,3.405296916,1001063710,14236,240683,1258,2124863,2253665,508170131,2106806,89,13669,259252,8,0.507630159722801
17,3.605490913,674713924,11513,2278597,1339,603172,3929067,475341282,669117,36389,97295,2052918,37840,0.704507888590721
18,3.80569569,543412936,2080,1038896,575,8645416,5337464,469741708,8097343,4845,149080,980327,110994,0.864428645106822
19,4.005900798,730839085,16523,1268454,935,377073,1521669,505977851,337105,68685,40449,1245224,1163,0.692324564168595
20,4.206095262,813039714,16580,881380,713,383869,1240825,506062137,387998,42172,25120,850833,447,0.62243224812509
21,4.406291769,646530823,202269,1742783,14237,511288,5364253,406929157,645099,44661,119990,1311192,70007,0.629404109632063
22,4.606575442,473009400,379488,608971,30114,845639,5861471,373688246,857603,30878,169573,522574,140069,0.790022874809676
23,4.806826479,774820423,38839,350359,6280,2086907,3693224,471534839,1557204,284279,18959,399986,52979,0.608573064161475
24,5.007039421,649768866,9831,748150,1026,4979328,3885753,468179764,4076823,13641,92070,815122,11596,0.720532774803648
