index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
0,0.200132069,28769,99615,425731926,184204,98089,5143,3003602,39597,42024,236701437,270649,47745,0.555987048525931
1,0.405136239,1274,45336,622037589,15588,15921,2295,6094583,9660,51051,289518040,15945,2487,0.465434959429759
2,0.605407804,798,30933,499042014,61187,29617,1682,6900399,8288,94682,258786765,27705,3658,0.518567090024609
3,0.805710427,26163,10570,281856499,1112050,11441,381,32121507,1125999,95439,250757110,11282,133695,0.889662331326978
4,1.006015152,42085,8532,447116375,2616250,15087,598,42815655,2384308,7904,316951774,20822,402723,0.708879816803847
5,1.206287115,47835,9863,328214121,1919111,10254,1598,44529819,1801449,26617,316805785,20074,186312,0.96524117863899
6,1.406569211,35457,17592,426563800,3395196,15369,1277,41217585,3193595,4927,308331900,4298,266140,0.722827159735542
7,1.606885338,20233,54296,500257328,1248260,2127,284,37630869,1357810,10030,308414066,2111,23154,0.616510840996616
8,1.807164658,20021,119007,499060910,1230517,2619,478,37914930,1238939,10264,308228033,2781,1674,0.617616060131818
9,2.007451611,20438,79809,502489416,1225464,2275,754,38201088,1224721,10345,308020826,2269,2909,0.612989679368689
10,2.20776856,13523,38098,358442002,1389457,24875,182,25109143,1067394,55142,282913218,3689,61395,0.789285899591644
11,2.408048402,20793,5739,266357626,171807,60167,929,10397836,202641,288109,193931285,36315,10632,0.728086099550985
12,2.608335696,17001,151537,175669162,773961,1932,900,19048281,719124,769363,176566265,553,138410,1.00510677565593
13,2.808636646,16722,379113,478777066,1296431,1350,106,41038830,954592,6186,317654589,1357,316999,0.663470770757428
14,3.008902516,14018,3064466,377165067,1080939,3500,660,31413236,841864,5362,316576277,1780,257797,0.839357365511266
15,3.209191804,16730,439859,474719932,1256108,7403,1664,40369319,1031350,6375,317057896,6042,349429,0.667884103084174
16,3.409502053,15131,1878534,430813122,1159091,2408,1786,36549566,850234,5697,317257638,2327,283673,0.736415911676896
17,3.609783053,16714,357970,478991393,1246460,2603,1568,41161416,934004,5915,317457866,2603,317979,0.662763194995447
18,3.810066554,61950,81496,415381554,3332621,12424,1704,56185497,3772704,739,313316386,3326,4349,0.754285747604478
