index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
0,0.20013219,106152,22318,0,19154,43699,35822,847388,22817,112,5513992,153541675,1862,0.8458283943829
1,0.400383873,82337,80767,0,57907,503753,10828717,1137501,5660,18696,79178986,249575902,28208,0.5520472111123
2,0.600566251,145405,391337,5039126,290481,5142365,2367144,365,3182,405,866427741,504986235,371929,0.58283710355022
3,0.800769872,146194,403641,5275171,274416,5254263,2368936,336,1660,133,877971518,513512264,378318,0.584884877780284
4,1.000958937,148235,391629,5470177,271908,5489326,2396190,377,2123,434,864200526,514144672,393082,0.59493677281099
5,1.201146291,146144,395802,5530487,295610,5472987,2407196,421,1845,231,872517601,514117305,396868,0.589234308179876
6,1.401337034,143679,410909,5497090,250312,5471088,2504486,390,2023,137,865622027,514448513,384575,0.594310792648071
7,1.601535954,154431,368473,5346069,255927,5541738,2365667,456,2083,362,869906226,511043316,394413,0.587469431446511
8,1.801723816,143868,391904,4737533,461973,4907790,2454636,503,2207,2479,766971299,494852122,388621,0.645202920428969
9,2.00191111,141040,413986,5374939,235623,5358271,2267746,374,1880,302,870855484,514149079,424902,0.590395408246634
10,2.202106751,139546,366119,5443521,231687,5550544,2291856,346,1823,294,873373705,513983102,373288,0.588503064676077
11,2.402293443,142955,448891,4989079,339305,4985824,2291886,446,1924,944,802540754,512420999,427157,0.638498414499209
12,2.602484319,135695,447058,5427788,250343,5352240,2214263,394,1764,506,850059344,513677550,439743,0.604284340411885
13,2.802685661,147956,397528,5468668,254118,5419844,2334812,356,1701,123,861996062,515208824,402198,0.597692781570967
14,3.002864476,156027,424877,5458739,256885,5294650,2307328,491,1876,269,859458045,514585723,397420,0.598732801436515
15,3.203048638,156927,437823,5498997,263434,5588298,2330569,354,1713,186,848920578,514872804,437595,0.606502913632988
16,3.403245819,163330,444794,5221107,241961,5293653,2383984,410,4784,78,861519438,513279113,448357,0.595783554450689
17,3.60343759,144583,429165,5213911,247437,5215092,2289739,316,2140,631,863871185,514375791,441242,0.595431124375332
18,3.803597467,156192,405194,5494739,237648,5350439,2344254,372,2223,172,866207199,513420596,450801,0.59272261485788
19,4.003779197,151970,415180,5370226,274195,5405645,2323472,362,1742,196,858949969,513901308,394509,0.5982901525665
20,4.203956978,153241,449039,5147957,264572,5224984,2274004,403,2281,277,866181769,514337727,438738,0.593798836927495
21,4.404132626,153740,414078,5450900,261847,5485388,2213122,474,1985,125,857989291,514281619,428082,0.599403307703988
22,4.604331352,140116,407563,5467292,279022,5413223,2220990,357,1574,453,864636467,514395472,428196,0.594926875782583
23,4.80451887,142241,387054,5213225,298322,5253333,2217312,430,1983,253,879745641,513971531,410664,0.584227425572433
24,5.00470562,145770,391516,5425168,226945,5563110,2273512,403,2008,400,855990587,514893270,403436,0.601517444023015
25,5.204902974,158241,413296,5627742,265986,5656793,2402267,378,1922,73,849539247,515524827,405529,0.606828735482776
26,5.405088544,152765,404487,5523076,261885,5532855,2393366,365,2162,119,856664815,513490714,422592,0.599406798328702
27,5.605273112,150197,457634,5487793,250580,5321925,2544280,391,1972,540,839044336,508977545,444887,0.606615792708241
28,5.805472529,156654,440777,5318069,246930,5312680,2319439,424,1989,31,846174164,514251545,429109,0.607737232922654
29,6.005660859,165826,429687,5244509,261476,5258920,2335293,372,1970,256,862685605,514357143,471143,0.596227803059262
30,6.205847973,146123,444432,5338682,242616,5349647,2334066,359,2227,175,850829785,515008417,464413,0.605301349435011
31,6.406046246,141758,415022,5453844,244322,5410414,2379703,359,1757,362,848664998,515483313,411260,0.607404940954098
32,6.606235195,153867,456338,5156489,244053,5224599,2347099,340,1777,224,829123142,503886378,441494,0.607734065635331
33,6.806423332,159428,423886,5318579,269903,5398501,2381965,379,1987,220,855684385,515478978,407670,0.602417184462236
34,7.006623334,160534,423960,5464983,241777,5585855,2354714,431,1685,93,845346686,513864912,407323,0.607874757789019
35,7.206812925,160546,410470,5520834,275830,5522843,2368298,497,2136,512,843208865,513646515,429029,0.609156919857573
36,7.406999858,159397,438973,5518184,258194,5505963,2453935,419,2487,100,839841922,514808326,448563,0.612982410754199
37,7.607194518,151644,423779,5230780,237395,5327230,2422228,397,2150,200,844247924,510277369,447874,0.604416492470996
38,7.807385222,146846,411920,5249083,288296,5240881,2243683,472,2152,174,849850829,511638690,407329,0.60203352463871
39,8.00757992,155865,457357,5203695,248533,5218328,2308211,485,1788,292,848191218,514497613,450095,0.606582103282281
40,8.20777211,154304,450639,5278420,239073,5251634,2298205,473,1923,209,847663785,514027966,429731,0.606405481862128
41,8.407946598,161811,452840,5362390,241261,5293003,2333044,419,2283,222,850444894,513853297,454738,0.604217040545839
42,8.608140267,151741,448645,5419204,243715,5341546,2221402,403,2148,804,846264698,514307815,441352,0.607738708958884
43,8.808345533,148290,400680,5227948,247932,5282557,2203597,419,1663,77,869072701,514518443,405921,0.592031532468997
44,9.008531289,151393,435310,5407374,271006,5331893,2235512,449,1969,194,840266410,513175136,424352,0.61072908531474
45,9.208716074,151482,449017,5222160,206321,5217014,2187045,377,1886,250,857327045,514775597,416846,0.600442503245655
46,9.408924026,158771,447004,5115785,212136,5194794,2222870,342,1736,281,850609064,514194809,446442,0.604501916052942
47,9.609113454,158772,464927,5216587,238273,5229863,2254298,444,2549,957,830942973,512981007,482604,0.617348029489865
48,9.80929964,149239,439050,5462376,218819,5346021,2219694,378,1560,132,843715687,514829870,430429,0.610193549714099
49,10.009499479,160238,415722,5385795,238604,5180069,2254338,347,2122,30,872737798,515801534,435343,0.591015463272051
50,10.209684763,153727,409232,5439585,274767,5375681,2288717,488,2543,623,850160036,512562320,400862,0.602900981339471
51,10.409871057,146017,418566,5114640,277315,5217446,2130675,402,2053,75,847450161,515487041,429559,0.608280067339559
52,10.61007089,135092,402383,5364634,255561,5491715,2110410,439,2001,275,855271883,514425937,395889,0.601476497971114
53,10.81025937,157607,385149,5231415,269923,5258280,2165531,394,2008,428,869724406,513640590,408951,0.590578563113244
54,11.010449641,166109,447308,5294571,273923,5457451,2313953,475,1704,109,839012582,515969593,443568,0.614972414084727
55,11.210650802,145746,395718,5368939,263071,5425836,2281654,347,2269,271,867414032,514996993,383129,0.593715312412654
56,11.410841628,154179,413142,5476639,259542,5570464,2315557,452,2107,120,847344983,514510172,430454,0.607202712380962
57,11.611030466,141823,440123,5465510,232119,5409322,2319021,413,2087,294,841987699,509726761,420847,0.605385044942325
58,11.81123222,152115,386778,5299610,233656,5397291,2167260,419,1867,65,863043807,514333090,389030,0.595952471738205
59,12.011424657,156516,399215,5416171,226418,5499360,2243172,394,1739,100,864203855,514576094,405529,0.595433694287328
