index,time,branch-misses:u,cpu-cycles:u,LLC-store-misses,cache-misses:u,iTLB-load-misses,branch-load-misses,instructions:u,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,cpi
0,0.200128392,2084744,482079239,12489,154867,54265,2169622,861740405,165931,81193,80911,3955197,8867240,0.559425131052083
1,0.400373616,1583930,456977912,6234,132114,63904,1568334,838810846,257365,149365,82258,3577082,9895604,0.544792564592089
2,0.600562562,500343,449190426,30524,475863,66271,515846,919766378,64296,64989,420654,1656016,12850693,0.488374479372413
3,0.800754903,1051377,450561447,338732,3675947,18827,1060642,383415603,1199937,165486,3331677,482861,9253863,1.17512548648157
4,1.000929171,1647585,461593256,314577,3466848,22893,1655264,395596672,1620329,193869,3069151,340206,11156812,1.1668279555193
5,1.201164599,1739799,445860663,293229,3644026,21469,1758739,392553944,1602465,194733,3282441,335145,10783387,1.13579463361601
6,1.401413791,1656155,444837058,250675,3521214,23538,1692301,381753997,1644705,203553,3240031,384274,10551401,1.16524531896388
7,1.601623225,1694769,434433959,211060,3236013,30169,1763360,387227482,1614423,197053,3041904,418277,10671445,1.12190890160012
8,1.801803012,1656372,444648894,218904,3381593,24710,1679751,360978152,1727990,188215,3163922,428970,10896889,1.23178893663348
9,2.001978712,1628442,450890888,263834,3814032,12443,1626485,338677938,2087696,215408,3508390,260146,12004718,1.33132642374833
10,2.202168312,1436891,453555337,297360,3765030,14462,1506148,301096871,2223095,228247,3486119,346019,12177798,1.50634357472283
11,2.402363031,1515029,437838328,277007,3818486,18747,1517282,313720706,2136618,226016,3461885,197279,12086653,1.39563095334868
12,2.602583504,1497242,423424522,271181,3688226,14194,1490027,309951341,2114897,221290,3419034,200939,11847726,1.36609998406169
13,2.802792122,1517886,422164975,266956,3760563,16051,1507903,311079105,2135357,232300,3456937,181961,11822541,1.35709846214197
14,3.003001978,1528655,422566200,262616,3723449,16082,1524558,309850180,2130489,226444,3456585,191987,11693510,1.36377587387556
15,3.203212017,1555340,437233182,269769,3818281,18657,1530261,305794344,2144647,228804,3486971,189509,11869309,1.42982756410956
16,3.403435825,1536065,430008581,301510,3805213,13424,1543913,305457485,2159550,239930,3577116,180204,11657506,1.40775264027333
17,3.603619598,1575561,428796919,264932,3799218,13806,1585591,303317925,2157700,224071,3439601,183298,11684192,1.41368802717479
18,3.803791783,1639892,453594860,273228,3958952,12928,1652859,320192085,2212572,220460,3660695,201024,11924106,1.41663358105807
19,4.004032928,1386623,482633948,275488,3515916,32662,1416937,257618923,1922123,183104,3158206,758419,10947304,1.87344136983291
20,4.204208736,1478145,463256462,268258,3768551,24434,1454085,270965784,1894825,177736,3436013,405072,11133191,1.70964929653258
21,4.40438341,1626465,453039184,262159,3962982,12069,1653586,311817919,2173937,205064,3640804,244904,11435408,1.4528965668583
22,4.604589285,1655916,440694570,246690,3780973,15105,1667991,319264578,2167590,203274,3543017,203177,11507997,1.38034282650674
23,4.804804064,1657092,433901570,232344,3694889,15228,1639583,320449983,2132239,194989,3411977,206856,11631798,1.3540383617371
24,5.005000352,1646102,431544731,235722,3660341,13090,1652420,318252702,2154410,201093,3444242,198372,11576247,1.3559813578582
25,5.205209505,1647669,428881228,239138,3626803,16895,1647719,319928013,2140835,200887,3435285,208822,11590568,1.34055540800674
26,5.405415233,1650730,429394941,233363,3623321,18877,1657321,318767893,2147725,194202,3379851,228284,11423374,1.34704576724733
27,5.605618797,1635711,429451338,227687,3608386,18717,1618242,318876613,2141471,205002,3402049,213248,11455103,1.34676335765019
28,5.805829612,1641893,430449399,222702,3598700,16722,1661320,317346108,2129690,200175,3337929,211947,11394281,1.35640358633294
29,6.006049073,1666180,433640100,224574,3650682,17765,1634779,318548072,2103691,194192,3361673,221615,11567242,1.36130191364021
30,6.206256849,1653958,434022662,233617,3619337,21084,1658251,317875223,2194013,204785,3419513,206785,11379784,1.36538688955949
31,6.406474454,1632368,421801269,229509,3580437,13910,1625586,314292628,2132111,205897,3378577,210599,11442944,1.34206542381898
32,6.606679188,1624301,427997019,240174,3643651,16759,1633371,314947125,2128385,205753,3387914,217654,11381237,1.35894880450171
33,6.806894655,1642412,432273277,229437,3632223,14429,1643874,311423595,2144022,214532,3372390,196429,11377491,1.38805563849457
34,7.007120228,1667305,427490369,218249,3623424,15470,1656657,313333120,2091571,189639,3335408,203235,11451011,1.36433189380044
35,7.207332502,1605007,433308630,255893,3760667,17452,1588248,302866733,2147157,233631,3504411,200836,11365193,1.43069073882076
36,7.40755765,1574403,434818188,294287,3770146,15511,1596725,302414352,2121608,243780,3461842,180475,11366736,1.43782259381658
37,7.607789537,1597153,426508864,265186,3707876,13566,1601052,306616256,2090779,229483,3428366,187104,11369021,1.39101843315183
38,7.807985388,1560121,423017669,280207,3754119,16925,1581825,301914627,2106206,242493,3464711,194721,11190843,1.40111684287492
39,8.008185792,1612432,431167266,245939,3677704,12517,1615416,309047505,2125412,217946,3420907,189345,11284072,1.39514883318667
40,8.208406673,1599110,432654729,238019,3701878,13939,1599123,303399904,2155439,212191,3423065,197785,11363030,1.42602131146357
41,8.408611375,1644549,430077115,222086,3647519,13976,1632231,307704063,2106926,196645,3365773,214500,11305061,1.39769722507694
42,8.608818979,1613396,425038062,254550,3703397,13492,1615480,306865541,2135597,223152,3436935,193203,11320842,1.38509544152434
43,8.809034205,1609976,424879283,269810,3713481,14045,1611071,306417207,2105923,224538,3414783,181952,11318000,1.38660386327456
44,9.009229938,1584915,420104683,278158,3737609,15555,1576074,304972475,2064403,236006,3468903,194154,11310666,1.37751671851697
45,9.209435252,1592585,433885633,282957,3801636,15924,1579358,300617124,2056932,232998,3461173,188491,11342429,1.44331642597978
46,9.409656865,1626810,431934815,247934,3731509,10553,1625052,309547274,2114906,215421,3405673,177839,11350180,1.39537592891223
47,9.609864074,1606925,427434173,273642,3736229,10970,1572729,302712806,2075977,228122,3423312,198217,11247159,1.41201219283733
48,9.810072269,1640163,425728887,234673,3620804,14149,1638894,310621067,2116435,206124,3398320,198752,11310892,1.37057312664501
49,10.010297413,1650183,431867656,226889,3629746,18738,1649516,312205929,2140991,210391,3367205,201026,11195917,1.38327820161288
50,10.21051261,1627653,435644594,222658,3617485,17206,1639894,311216455,2138284,198461,3357582,222127,11152777,1.39981221108633
51,10.410732187,1635618,428966924,218253,3616835,13111,1632789,314628941,2122531,195652,3362183,207191,11285943,1.36340580315528
52,10.610954895,1585122,427317391,243905,3664066,13811,1584254,306251715,2117823,211258,3387943,205886,11234166,1.39531427930126
53,10.811161952,1537700,427482163,269415,3731775,11927,1550166,298875510,2064593,219255,3425105,193119,11190391,1.43030174335796
54,11.011372648,1593071,424051759,257413,3688191,12767,1584958,308809498,2065977,210657,3395308,205545,11304413,1.37318237213028
55,11.214062198,1633954,434084888,267966,3763638,19129,1634847,311094405,2136433,211963,3497485,196884,11395714,1.39534778196991
56,11.414277922,1588241,429754852,233515,3657267,15248,1595786,305750737,2119429,198088,3397488,192262,11239927,1.40557257920853
57,11.61449428,1609061,429282831,228790,3672935,14037,1603410,310859832,2088008,204024,3394654,195468,11253573,1.38095304317092
