index,time,iTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,cache-misses:u,cpu-cycles:u,LLC-store-misses,LLC-load-misses,dTLB-load-misses,branch-misses:u,instructions:u,branch-load-misses,L1-dcache-load-misses,cpi
0,0.200109068,6964,89,351848,75845,453660797,8444,54088,6633,1047468,1057380661,1053234,9079728,0.429042078915041
1,0.400336019,875,170,118527,220,510722557,0,156,5032,1112871,1277643810,1107529,12714701,0.399737824425416
2,0.60050959,1263,96,160236,771,508966120,3,328,5076,1114996,1289714648,1099476,12557021,0.394634674258581
3,0.800703316,1345,81,121481,1423,507450835,0,154,5608,1086377,1277542807,1046308,12393407,0.397208478823207
4,1.000878589,1093,46,122051,1204,503244121,2,404,7496,1062131,1286615926,1069742,12438405,0.391137798647147
5,1.201052476,995,111,127608,362,508240500,19,370,7337,1087564,1288235459,1086432,12588255,0.394524538545558
6,1.401235283,1283,149,114992,167,510982170,244,522,6550,1106231,1296833800,1133750,12648684,0.394022865536046
7,1.601412098,941,118,121768,142,510509492,0,18,2783,1132552,1292671420,1121809,12654655,0.39492595264464
8,1.801592919,832,100,144800,1461,508971523,6,588,8329,1110813,1291535220,1080584,12583074,0.394082573295988
9,2.001778703,931,87,120269,1322,509595231,3,133,8186,1091881,1301379549,1071928,12570907,0.391580789318213
10,2.201957003,2026,78,130998,1609,510483356,140,1838,4875,1084990,1299752740,1090523,12440211,0.392754206465454
11,2.40213599,1223,71,114165,698,504767138,77,1499,8351,1105124,1279043976,1096496,12487619,0.394644083762136
12,2.602329555,1663,160,182867,5862,377827310,108,4259,8376,775579,964356272,772470,9926554,0.391792246258134
13,2.802600545,1004,62,143188,5461,463346854,81,3326,10079,993086,1173555351,968755,11115032,0.394823178646987
14,3.002791207,1945,131,171086,3731,495490567,309,2457,5205,992876,1258930584,1073652,12456729,0.393580530409928
15,3.202971793,1231,125,126388,771,507518093,0,266,6455,1098124,1265733300,1114525,12601888,0.400967639075309
16,3.403157274,992,102,132487,1000,506784025,5,701,7429,1138957,1259552616,1053203,12509858,0.402352405578268
17,3.603360885,1042,52,144873,4548,502817170,11,1198,6436,1074102,1250887436,1079592,12381662,0.401968359045857
18,3.80358394,1041,109,147208,4689,468101854,93,2377,5173,970405,1176397243,1006809,11414828,0.397911383068415
19,4.003793661,2827,62,332572,1414,465878850,78,1138,6676,876147,1090877279,871720,12988514,0.427068066196289
20,4.203982668,2495,50,330686,3607,469536884,59,1634,8132,896895,1005424564,867457,11943712,0.467003593120886
21,4.404181394,1101,53,331267,9461,456134600,532,7735,7261,956945,1126750371,955062,11272646,0.404823119423672
22,4.604394446,1233,136,200189,4091,457255771,55,2209,5378,937862,1168799440,938687,11774190,0.391218335114876
23,4.804588714,4337,160,593098,3252,478127859,15,1551,9460,787944,933580793,786588,13314439,0.512144061429936
24,5.004806969,2512,5007,247147,4968,492606804,347,2884,4253,891893,1073780762,865345,12604683,0.458759200604862
25,5.205011481,910,93,128404,2185,509860935,0,441,5493,1077811,1293554764,1091693,12587590,0.3941548894485
26,5.405181792,1595,71,115803,192,510814876,193,1605,8501,1095321,1303738019,1101128,12648642,0.391807915820241
27,5.605360491,1175,137,126744,270,509371867,359,926,8169,1102736,1294659364,1111014,12683512,0.393440839470111
28,5.805534562,1001,89,251745,3733,467728184,22,1445,6343,954244,1197768808,933920,12117484,0.390499552898693
29,6.005704471,840,60,160845,1502,506315464,196,1215,6785,1056237,1294194084,1089552,12421285,0.391220660223633
30,6.205885858,1251,75,126442,249,510149794,234,719,8530,1088394,1299991028,1114777,12569843,0.392425626802095
31,6.406068104,3409,125,131107,108,509785136,46,125,6900,1120886,1292312921,1119314,12538982,0.394474997282798
32,6.606236788,1710,131,132177,528,505436773,3,319,4722,1113209,1281218741,1077584,12678552,0.3944968621092
33,6.806415874,746,109,125839,714,508370615,0,210,7619,1097672,1291954432,1078560,12671230,0.393489586326215
34,7.006595296,768,61,115063,592,509906197,0,96,6591,1093765,1303405998,1075376,12726665,0.391210565075211
35,7.206766535,865,52,125026,2827,509285273,0,991,5763,1082267,1303705833,1102708,12385946,0.390644315695104
36,7.406923305,1260,97,123880,723,510938166,50,1113,9279,1088898,1302672523,1105073,12530339,0.392223031482487
37,7.607107689,1832,87,124983,254,510970142,146,484,9035,1112186,1300461117,1111670,12627819,0.392914586465102
38,7.918873907,2798,248,232720,3646,792037550,105,1047,9337,1629385,1918000315,1619687,19581258,0.412949645422764
39,8.119050191,786,69,116603,605,510133943,0,96,3318,1090148,1298622835,1082065,12731833,0.392826869550619
40,8.319231764,978,74,131723,957,510655390,0,293,6677,1082903,1308015046,1086283,12441951,0.390404828722437
41,8.519398579,1129,65,145614,4710,510465323,184,2370,8043,1078904,1298136124,1092543,12527632,0.393229426069034
42,8.719558977,1175,78,129206,91,510356533,113,246,9444,1100280,1302016582,1107330,12510688,0.391973911896001
43,8.919722164,1181,134,122634,115,511136557,24,85,7207,1107425,1297545900,1113292,12728467,0.393925607564249
44,9.119877421,1184,112,136365,618,508000761,2,191,5053,1086671,1291807076,1080001,12545686,0.393248164093506
45,9.320044358,1008,97,117260,360,510402004,0,65,5969,1113211,1293026462,1109724,12805186,0.394734384020673
46,9.520219632,997,105,123442,2394,506416340,0,40,6030,1103929,1292859075,1073156,12735633,0.391702661018951
47,9.720391355,941,62,143826,2865,510833233,0,187,6714,1080076,1301232922,1087271,12451093,0.392576320782637
48,9.920569292,892,53,118892,696,508618882,124,412,9378,1093680,1296088454,1115604,12568022,0.392426057365372
49,10.120752023,981,56,114895,102,510975537,210,424,9382,1087825,1300560131,1099250,12708612,0.392888821378148
50,10.320919184,1985,130,129683,440,509212622,100,352,6071,1097731,1292915079,1106546,12664228,0.393848467135095
51,10.521096534,1660,113,122251,127,510440934,0,43,4573,1114111,1291127265,1129381,12690160,0.395345174590516
52,10.721275472,1160,103,126552,688,509414371,0,125,6590,1107644,1292282853,1088347,12796461,0.394197268668704
53,10.921449594,1254,84,146018,2467,508309340,0,478,7402,1089325,1294404386,1062137,12667980,0.392697479626742
54,11.121628745,678,90,124480,930,508269580,0,59,9197,1070785,1302610814,1086582,12590399,0.390192968258284
55,11.321805826,792,81,169866,485,506103444,74,565,9726,1073546,1268479908,1093347,12424022,0.398984202121079
56,11.521982875,1142,78,130606,250,508977180,139,1207,7862,1089367,1296537307,1086945,12510332,0.392566551885576
57,11.722159848,960,135,120219,162,511317500,34,56,4122,1102728,1299829426,1124498,12786070,0.393372768589715
58,11.922340238,575,93,115333,72,509388214,0,31,6470,1122155,1297405176,1118375,12795251,0.392620765989606
59,12.122508395,691,71,115232,576,505619756,0,209,6492,1100023,1284727522,1071492,12834122,0.393561862217193
60,12.322679844,783,84,116798,697,508008584,0,141,7199,1105757,1300521250,1075912,12497122,0.390619210566532
61,12.522863176,723,49,119627,2512,510138655,0,139,9649,1093444,1303269096,1109284,12429029,0.391430025131203
62,12.72297038,1054,72,122042,262,509809173,2,121,11143,1089778,1301674033,1100961,12461463,0.391656559227067
63,12.923147649,1154,53,121877,186,503960683,93,259,8047,1079588,1286501671,1085683,12584265,0.391729520730642
64,13.123325051,903,106,121239,710,506317353,25,197,4870,1082016,1274104310,1112517,12733463,0.397390817240073
65,13.323528456,650,134,114582,242,507676364,0,228,6309,1132034,1284611256,1136080,12803020,0.395198439706027
66,13.52369353,1340,87,187571,4026,506958523,2,668,7693,1115729,1293109860,1069919,12856940,0.392045980532543
67,13.723881865,1031,95,103266,633,509305063,0,50,9693,1115814,1299522921,1094661,12530865,0.391916952575244
68,13.924066152,925,99,110626,1445,508893188,0,737,11259,1060252,1292734014,1055404,12535280,0.393656531420082
69,14.12425756,669,62,103555,220,510149923,71,422,9666,1070551,1303556422,1076205,12470210,0.391352391342827
70,14.324426842,785,90,105308,86,510675081,65,178,6176,1079936,1304605429,1109806,12708210,0.391440254385144
71,14.524590548,1050,156,104825,102,509989197,50,30,5432,1087863,1297409584,1154065,12789049,0.393082649680812
72,14.724751213,829,153,121025,658,508178611,0,488,8793,1124908,1270849608,1132569,13035564,0.399873130385386
73,14.924938034,940,84,109649,2034,502757076,63,272,7280,1132692,1250564231,999617,12794332,0.402024193189962
74,15.125141625,1782,80,116284,1981,509107605,0,150,11244,1090230,1304387878,1080345,12692469,0.390303845647974
75,15.325311567,750,77,117093,242,508802861,81,309,9972,1080353,1300234768,1082746,12651689,0.391316148069654
76,15.525480873,1194,115,112569,3359,510315440,203,1820,7335,1078788,1301751872,1123938,12706867,0.392022051956765
77,15.725681064,810,103,115764,315,508889501,50,250,2843,1108217,1288354043,1193018,12811154,0.394991969610329
78,15.925848423,1085,68,217630,955,487689120,188,346,5020,1067784,1148256775,1056099,12756878,0.424721308524394
79,16.126041933,1472,80,126360,1909,467817998,302,1860,10159,927962,1084543451,888973,11440346,0.431350166347554
80,16.326247655,5009,77,668591,2942,466876105,15,1992,9533,820052,1020198664,1016371,15498659,0.457632539107109
81,16.526445642,3115,108,403593,4768,459586210,165,807,5385,982376,1126976110,986779,13504158,0.407804749294996
82,16.72664077,5536,118,309072,2505,463063126,0,863,10208,938458,1098916701,856110,13967643,0.421381461923928
83,16.926837112,3090,118,233534,2200,480611588,0,457,9015,1015877,1216099291,1017776,13028296,0.395207522573911
84,17.127024236,1281,68,137771,230,508831882,72,488,6840,1134082,1292211516,1138466,13127430,0.393768261387325
85,17.327193151,882,96,137782,97,509714688,19,59,4044,1143701,1283154987,1168695,13285542,0.397235480642682
