index,time,cache-misses:u,dTLB-store-misses,branch-misses:u,iTLB-load-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,branch-load-misses,cpu-cycles:u,instructions:u,dTLB-load-misses,LLC-store-misses,cpi
0,0.200131381,145759,15977,1079998,37299,43624,1774665,13711581,1212595,398343731,592597199,289591,4755,0.67219982084323
1,0.400374423,492867,27686,1253094,62162,601540,1988932,20872776,1256646,498576823,739302764,1265004,14153,0.674387879063847
2,0.600575849,693270,23023,1077414,55463,674263,1746965,21042473,1043392,497149730,681020579,1601105,20718,0.730006912169977
3,0.80080472,1062085,21015,955238,47458,1423448,1474624,19309821,932426,499526196,629777697,1891617,21180,0.793178606323367
4,1.001009038,1576419,17443,739928,51435,1527576,1256583,18516046,723703,474611910,526814611,1748821,21190,0.900908782881118
5,1.201212724,2095480,15591,653007,44147,2055081,1075374,16389729,688377,473097864,493345737,1767081,21678,0.958958046089288
6,1.401418414,2323325,13801,622589,35372,2370159,948382,15778827,628341,469433879,471443829,1753394,21925,0.995736607679724
7,1.601635615,2720330,12264,559983,35904,2503561,883172,15098639,566819,462563722,426700388,1740533,22159,1.08404804637768
8,1.8018422,2753290,10993,528131,37755,2661091,845958,14893260,492424,452074706,405279505,1629959,20793,1.11546402031852
9,2.002050863,2832181,10574,503364,35039,2754813,795952,14479018,470627,450958498,395804487,1652985,19952,1.13934660371852
10,2.202265384,5199302,7640,363460,29562,5034235,585110,9978802,357016,449479605,280799894,1283606,21176,1.60071144827426
11,2.402515875,4388153,7911,390244,32089,4227946,715904,10771870,396933,457187810,283658260,1299453,19081,1.6117556738873
12,2.60270607,3865719,8633,383188,24901,3755604,635482,12421497,378474,451222533,339599424,1508909,20987,1.32869051332667
13,2.802908404,4612178,8556,393919,25319,4581287,620096,10779509,380017,450756718,314745964,1383174,19976,1.43212866742272
14,3.003145799,4787298,6830,327742,25033,4683922,562934,10610679,319653,452149359,274964955,1264672,21086,1.64438904223267
